country,iso3,region,HealthExpPC.Govt.exch,HealthExpPC.Tot.ppp,HealthExpPC.Govt.ppp,HealthExpPC.Tot.exch,total,govt,private,sex,lifeexp.Birth,lifeexp.At60,smoking.tobacco.current,smoking.tobacco.daily,smoking.cig.current,smoking.cig.daily,Pop.Total,Pop.MedAge,Pop.pCntUnder15,Pop.pCntOver60,Pop.pCntAnnGrowth,consumption.cigPC,hiv_prev15_49
,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,EUR,216.99,793.46,560.73,307.05,793.46,560.73,232.73,MLE,66,14,49,43,49,43,9405,39.15,15.1,19.31,0.5,2266,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,EUR,216.99,793.46,560.73,307.05,793.46,560.73,232.73,FMLE,77,21,9,6,9,6,9405,39.15,15.1,19.31,0.5,2266,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,AMR,174.25,426.36,283.39,262.17,426.36,283.39,142.97,FMLE,76,22,3,0,3,0,324,22.69,34.4,5.74,-2.5,367,2.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,AMR,174.25,426.36,283.39,262.17,426.36,283.39,142.97,BTSX,74,21,13,4,13,4,324,22.69,34.4,5.74,-2.5,367,2.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,AMR,174.25,426.36,283.39,262.17,426.36,283.39,142.97,MLE,71,20,23,8,23,8,324,22.69,34.4,5.74,-2.5,367,2.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,AMR,83.6,250.26,177.12,118.12,250.26,177.12,73.14,BTSX,67,18,30,6,30,6,10496,22.14,35.23,7.28,-1.7,179,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,AMR,83.6,250.26,177.12,118.12,250.26,177.12,73.14,FMLE,69,19,18,5,18,5,10496,22.14,35.23,7.28,-1.7,179,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,AMR,83.6,250.26,177.12,118.12,250.26,177.12,73.14,MLE,65,17,42,6,42,6,10496,22.14,35.23,7.28,-1.7,179,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,AMR,512.58,1042.73,476.98,1120.56,1042.73,476.98,565.75,FMLE,78,23,13,11,13,11,199000,29.89,24.56,10.81,-1,504,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,AMR,512.58,1042.73,476.98,1120.56,1042.73,476.98,565.75,MLE,71,19,22,19,21,18,199000,29.89,24.56,10.81,-1,504,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,AMR,512.58,1042.73,476.98,1120.56,1042.73,476.98,565.75,BTSX,74,21,17,15,17,15,199000,29.89,24.56,10.81,-1,504,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
